Date,Country,Confirmed,Recovered,Deaths,continent,iso_alpha
1/22/2020,Afghanistan,0,0,0,Asia,AFG
1/22/2020,Albania,0,0,0,Europe,ALB
1/22/2020,Algeria,0,0,0,Europe,DZA
1/22/2020,Andorra,0,0,0,Africa,AND
1/22/2020,Angola,0,0,0,Africa,AGO
1/22/2020,Antigua and Barbuda,0,0,0,Americas,ATG
1/22/2020,Argentina,0,0,0,Americas,ARG
1/22/2020,Armenia,0,0,0,Europe,ARM
1/22/2020,Australia,0,0,0,Oceania,AUS
1/22/2020,Austria,0,0,0,Europe,AUT
1/22/2020,Azerbaijan,0,0,0,Europe,AZE
1/22/2020,Bahamas,0,0,0,Americas,BHS
1/22/2020,Bahrain,0,0,0,Asia,BHR
1/22/2020,Bangladesh,0,0,0,Asia,BGD
1/22/2020,Barbados,0,0,0,Americas,BRB
1/22/2020,Belarus,0,0,0,Europe,BLR
1/22/2020,Belgium,0,0,0,Europe,BEL
1/22/2020,Belize,0,0,0,Americas,BLZ
1/22/2020,Benin,0,0,0,Africa,BEN
1/22/2020,Bhutan,0,0,0,Asia,BTN
1/22/2020,Bolivia,0,0,0,Americas,BOL
1/22/2020,Bosnia and Herzegovina,0,0,0,Europe,BIH
1/22/2020,Botswana,0,0,0,Africa,BWA
1/22/2020,Brazil,0,0,0,Americas,BRA
1/22/2020,Brunei,0,0,0,Asia,BRN
1/22/2020,Bulgaria,0,0,0,Europe,BGR
1/22/2020,Burkina Faso,0,0,0,Africa,BFA
1/22/2020,Burma,0,0,0,Africa,BUR
1/22/2020,Burundi,0,0,0,Africa,BDI
1/22/2020,Cabo Verde,0,0,0,Africa,CPV
1/22/2020,Cambodia,0,0,0,Asia,KHM
1/22/2020,Cameroon,0,0,0,Africa,CMR
1/22/2020,Canada,0,0,0,Americas,CAN
1/22/2020,Central African Republic,0,0,0,Africa,CAF
1/22/2020,Chad,0,0,0,Africa,TCD
1/22/2020,Chile,0,0,0,Americas,CHL
1/22/2020,China,548,28,17,Asia,CHN
1/22/2020,Colombia,0,0,0,Americas,COL
1/22/2020,Comoros,0,0,0,Africa,COM
1/22/2020,Congo (Brazzaville),0,0,0,Africa,COD
1/22/2020,Congo (Kinshasa),0,0,0,Africa,COG
1/22/2020,Costa Rica,0,0,0,Americas,CRI
1/22/2020,Cote d'Ivoire,0,0,0,Africa,CIV
1/22/2020,Croatia,0,0,0,Europe,HRV
1/22/2020,Cuba,0,0,0,Americas,CUB
1/22/2020,Cyprus,0,0,0,Europe,CYP
1/22/2020,Czechia,0,0,0,Europe,CZE
1/22/2020,Denmark,0,0,0,Europe,DNK
1/22/2020,Diamond Princess,0,0,0,Europe,DIM
1/22/2020,Djibouti,0,0,0,Africa,DJI
1/22/2020,Dominica,0,0,0,Americas,DMA
1/22/2020,Dominican Republic,0,0,0,Americas,DOM
1/22/2020,Ecuador,0,0,0,Americas,ECU
